task,state,success,task_description,policy_query_count,executed_policy_steps,last_environment_step,eef_movement_l2,mean_action_l2,max_action_l2,gripper_sign_flips,jsonl_path,video_path
0,0,True,put both the alphabet soup and the tomato sauce in the basket,85,425,434,0.26521399463085754,1.1653407887286462,1.5319249362245575,10,experiments/day24_ten_task_screen/task0/state0/ckptday22_s13999_screen_task0_state0.jsonl,experiments/day24_ten_task_screen/task0/state0/ckptday22_s13999_screen_task0_state0.mp4
0,1,True,put both the alphabet soup and the tomato sauce in the basket,66,330,339,0.24957758470408545,1.1206715017287832,1.4630856508938321,20,experiments/day24_ten_task_screen/task0/state1/ckptday22_s13999_screen_task0_state1.jsonl,experiments/day24_ten_task_screen/task0/state1/ckptday22_s13999_screen_task0_state1.mp4
0,2,True,put both the alphabet soup and the tomato sauce in the basket,71,354,363,0.28555519742075586,1.1199476948421787,1.5011869095634887,8,experiments/day24_ten_task_screen/task0/state2/ckptday22_s13999_screen_task0_state2.jsonl,experiments/day24_ten_task_screen/task0/state2/ckptday22_s13999_screen_task0_state2.mp4
1,0,True,put both the cream cheese box and the butter in the basket,54,267,276,0.3180621000596321,1.2087055482174986,1.4926792559790523,16,experiments/day24_ten_task_screen/task1/state0/ckptday22_s13999_screen_task1_state0.jsonl,experiments/day24_ten_task_screen/task1/state0/ckptday22_s13999_screen_task1_state0.mp4
1,1,True,put both the cream cheese box and the butter in the basket,51,253,262,0.2727766811611213,1.2124843161152707,1.4833876253968452,8,experiments/day24_ten_task_screen/task1/state1/ckptday22_s13999_screen_task1_state1.jsonl,experiments/day24_ten_task_screen/task1/state1/ckptday22_s13999_screen_task1_state1.mp4
1,2,True,put both the cream cheese box and the butter in the basket,47,235,244,0.26761694721639656,1.2250704206387644,1.53529670332498,6,experiments/day24_ten_task_screen/task1/state2/ckptday22_s13999_screen_task1_state2.jsonl,experiments/day24_ten_task_screen/task1/state2/ckptday22_s13999_screen_task1_state2.mp4
2,0,True,turn on the stove and put the moka pot on it,50,248,257,0.24285891653587222,1.1496207863105996,1.4693678149068325,4,experiments/day24_ten_task_screen/task2/state0/ckptday22_s13999_screen_task2_state0.jsonl,experiments/day24_ten_task_screen/task2/state0/ckptday22_s13999_screen_task2_state0.mp4
2,1,True,turn on the stove and put the moka pot on it,51,253,262,0.25144561900892465,1.1568795676594223,1.6310727378685168,6,experiments/day24_ten_task_screen/task2/state1/ckptday22_s13999_screen_task2_state1.jsonl,experiments/day24_ten_task_screen/task2/state1/ckptday22_s13999_screen_task2_state1.mp4
2,2,True,turn on the stove and put the moka pot on it,51,254,263,0.27538893049668195,1.1430307914300013,1.5158340790440046,6,experiments/day24_ten_task_screen/task2/state2/ckptday22_s13999_screen_task2_state2.jsonl,experiments/day24_ten_task_screen/task2/state2/ckptday22_s13999_screen_task2_state2.mp4
3,0,True,put the black bowl in the bottom drawer of the cabinet and close it,45,225,234,0.3934981916040505,1.1506334872597388,1.3808890140877903,2,experiments/day24_ten_task_screen/task3/state0/ckptday22_s13999_screen_task3_state0.jsonl,experiments/day24_ten_task_screen/task3/state0/ckptday22_s13999_screen_task3_state0.mp4
3,1,True,put the black bowl in the bottom drawer of the cabinet and close it,43,213,222,0.3858723166376126,1.139357821445818,1.334219572371913,2,experiments/day24_ten_task_screen/task3/state1/ckptday22_s13999_screen_task3_state1.jsonl,experiments/day24_ten_task_screen/task3/state1/ckptday22_s13999_screen_task3_state1.mp4
3,2,True,put the black bowl in the bottom drawer of the cabinet and close it,50,249,258,0.40427733112662273,1.1409248415429147,1.4052441213961917,2,experiments/day24_ten_task_screen/task3/state2/ckptday22_s13999_screen_task3_state2.jsonl,experiments/day24_ten_task_screen/task3/state2/ckptday22_s13999_screen_task3_state2.mp4
